饰物名字	大类型	副类型	详细类别	重量	价格	五行	耐久	"防御力(外,内)"	附加属性1	附加属性1数值	附加属性2	附加属性2数值	套装编号	要求等级	要求性别	要求体型	要求门派	在界面上显示的小图	在界面上显示的大图	说明文字	装备在身上的时候，使用的显示类型名字	丢落在地面的时候，使用哪一个物件资源	脚本文件	评价等级	是否能交易(0能1不能)	是否能丢弃(0能1不能)	流派需求	是否可维修（0是/1否）
熏衣香囊	0	102	1	1	10		20							5	2			\image\item\ring\ring_001a1.spr	\image\item\ring\ring_001a0.spr	熏衣泽草熏制的香囊，清心净气，精神倍长		饰物		1	0	0		0
合欢香囊	0	102	2	2	20		20							15	2			\image\item\ring\ring_002a1.spr	\image\item\ring\ring_002a0.spr	合欢草熏制的香囊，清心净气，精神倍长		饰物		2	0	0		0
沉檀香囊	0	102	3	3	50		20							25	2			\image\item\ring\ring_003a1.spr	\image\item\ring\ring_003a0.spr	沉檀香熏制的香囊，清心净气，精神倍长		饰物		3	0	0		0
仙麝香囊	0	102	4	4	100		40							35	2			\image\item\ring\ring_004a1.spr	\image\item\ring\ring_004a0.spr	仙麝香熏制的香囊，清心净气，精神倍长		饰物		4	0	0		0
龙涎香囊	0	102	5	5	400		40							45	2			\image\item\ring\ring_005a1.spr	\image\item\ring\ring_005a0.spr	龙涎香熏制的香囊，清心净气，精神倍长		饰物		5	0	0		0
绿蚰玉佩	0	102	6	1	10		20							10	1			\image\item\ring\ring_006a1.spr	\image\item\ring\ring_006a0.spr	绿釉烟玉制作的玉佩，隐隐传来一股暖意		饰物		1	0	0		0
京白玉佩	0	102	7	2	20		20							20	1			\image\item\ring\ring_007a1.spr	\image\item\ring\ring_007a0.spr	京白玉制作的玉佩，隐隐传来一股暖意		饰物		2	0	0		0
桃花玉佩	0	102	8	3	50		20							30	1			\image\item\ring\ring_008a1.spr	\image\item\ring\ring_008a0.spr	桃花玉制作的玉佩，隐隐传来一股暖意		饰物		3	0	0		0
五色玉佩	0	102	9	4	100		40							40	1			\image\item\ring\ring_009a1.spr	\image\item\ring\ring_009a0.spr	五色玉制作的玉佩，隐隐传来一股暖意		饰物		4	0	0		0
墨玉玉佩	0	102	10	5	400		40							50	1			\image\item\ring\ring_010a1.spr	\image\item\ring\ring_010a0.spr	墨玉石制作的玉佩，隐隐传来一股暖意		饰物		5	0	0		0
绿松石护身符	0	102	11	1	10		20							5	1			\image\item\ring\ring_011a1.spr	\image\item\ring\ring_011a0.spr	绿松奇石制作的护符，似乎被高僧以佛力加持过		饰物		1	0	0		0
猫眼护身符	0	102	12	2	20		20							15	1			\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	猫眼奇石制作的护符，似乎被高僧以佛力加持过		饰物		2	0	0		0
水晶护身符	0	102	13	3	50		20							25	1			\image\item\ring\ring_013a1.spr	\image\item\ring\ring_013a0.spr	水晶奇石制作的护符，似乎被高僧以佛力加持过		饰物		3	0	0		0
琥珀护身符	0	102	14	4	100		40							35	1			\image\item\ring\ring_014a1.spr	\image\item\ring\ring_014a0.spr	琥珀奇石制作的护符，似乎被高僧以佛力加持过		饰物		4	0	0		0
红翡翠护身符	0	102	15	5	400		40							45	1			\image\item\ring\ring_015a1.spr	\image\item\ring\ring_015a0.spr	翡翠奇石制作的护符，似乎被高僧以佛力加持过		饰物		5	0	0		0
芙蓉石戒指	0	102	16	1	10		20							10	2			\image\item\ring\ring_016a1.spr	\image\item\ring\ring_016a0.spr	芙蓉石制作的饰物，能辟邪		饰物		1	0	0		0
祖母绿戒指	0	102	17	2	20		20							20	2			\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	绿宝石制作的饰物，能辟邪		饰物		2	0	0		0
蓝宝石戒指	0	102	18	3	50		20							30	2			\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	蓝宝石制作的饰物，能辟邪		饰物		3	0	0		0
蓝水晶戒指	0	102	19	4	100		40							40	2			\image\item\ring\ring_019a1.spr	\image\item\ring\ring_019a0.spr	蓝水晶制作的饰物，能辟邪		饰物		4	0	0		0
钻石戒指	0	102	20	5	400		40							50	2			\image\item\ring\ring_020a1.spr	\image\item\ring\ring_020a0.spr	金刚石制作的饰物，能辟邪		饰物		5	0	0		0
新手玉佩	0	102	101	2	2		20							1				\image\item\ring\ring_006a1.spr	\image\item\ring\ring_006a0.spr	制作粗劣的玉佩，不似名家手笔		任务物品		1	0	0		0
新手香囊	0	102	102	2	2		20							1				\image\item\ring\ring_001a1.spr	\image\item\ring\ring_001a0.spr	制作粗劣的香囊，不似名家手笔		任务物品		1	0	0		0
翡翠戒指	0	102	103	2	2		20							1				\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	翡翠制作的戒指，似乎能增加一定的防御能力		任务物品		1	1	1		0
钻戒	0	102	104	2	2		20							15	1			\image\item\ring\婚戒a1.spr	\image\item\ring\婚戒a0.spr	成婚的新人所佩戴的戒指，象征着永久不变的爱情		饰物		1	0	1		0
钻戒	0	102	105	2	2		20							13	2			\image\item\ring\婚戒a1.spr	\image\item\ring\婚戒a0.spr	成婚的新人所佩戴的戒指，象征着永久不变的爱情		饰物		1	0	1		0
钻戒	0	102	106	2	2		20							15	1			\image\item\ring\婚戒a1.spr	\image\item\ring\婚戒a0.spr	已婚的夫妻所佩戴的戒指，象征着永久不变的爱情		饰物		1	2	1		0
钻戒	0	102	107	2	2		20							13	2			\image\item\ring\婚戒a1.spr	\image\item\ring\婚戒a0.spr	已婚的夫妻所佩戴的戒指，象征着永久不变的爱情		饰物		1	2	1		0
将军之戒	0	102	21	10	1		20							1				\image\item\ring\ring_020a1.spr	\image\item\ring\ring_020a0.spr	传说为大将出征时，皇帝所赐的吉祥之物		已绑定装备		7	0	1		0
